AV-6, 251
2012-09-19T18:05:07, 37.9276072606, -75.4714817740
2012-09-19T18:11:07, 37.9276000522, -75.4714962747
2012-09-19T18:17:07, 37.9275956098, -75.4715077579
2012-09-19T18:23:07, 37.9275945202, -75.4715077579
2012-09-19T18:29:07, 37.9275976215, -75.4715090990
2012-09-19T18:35:07, 37.9275972862, -75.4715101887
2012-09-19T18:41:07, 37.9281102587, -75.4701420106
2012-09-19T18:47:07, 37.8224309720, -75.3534759767
2012-09-19T18:53:07, 37.6273701712, -75.1607387234
2012-09-19T18:59:07, 37.6509516500, -75.4253086355
2012-09-19T19:05:07, 37.9300930817, -74.9394357763
2012-09-19T19:11:07, 37.6418028027, -75.1259517297
2012-09-19T19:17:07, 37.7543684095, -75.3419339284
2012-09-19T19:23:07, 37.6945087127, -74.6678399015
2012-09-19T19:29:07, 37.5623372477, -74.0026152693
2012-09-19T19:35:07, 37.4265986122, -73.3204976656
2012-09-19T19:41:07, 37.3182971310, -72.6340236515
2012-09-19T19:47:07, 37.3096461687, -71.8981643859
2012-09-19T19:53:07, 37.3360278737, -71.1562512070
2012-09-19T19:59:07, 37.3494688421, -70.4367891233
2012-09-19T20:05:07, 37.3691225611, -69.7227989137
2012-09-19T20:11:07, 37.3888840713, -69.0047900006
2012-09-19T20:17:07, 37.4062012509, -68.2804027945
2012-09-19T20:23:07, 37.3862197157, -67.5711484440
2012-09-19T20:29:07, 37.3663565330, -66.8663872965
2012-09-19T20:35:07, 37.3463901691, -66.1588465422
2012-09-19T20:41:07, 37.3262399063, -65.4455357697
2012-09-19T20:47:07, 37.3060945887, -64.7332843021
2012-09-19T20:53:07, 37.2860002331, -64.0238882974
2012-09-19T20:59:07, 37.2582516912, -63.3205236588
2012-09-19T21:05:07, 37.2185477894, -62.6151111536
2012-09-19T21:11:07, 37.1792697720, -61.9182350300
2012-09-19T21:17:07, 37.1401521005, -61.2327001244
2012-09-19T21:23:07, 37.0643523708, -60.5563525390
2012-09-19T21:29:07, 36.9883666467, -59.8883378226
2012-09-19T21:35:07, 36.9119103625, -59.2169949878
2012-09-19T21:41:07, 36.8340916000, -58.5326549225
2012-09-19T21:47:07, 36.7557744496, -57.8425642010
2012-09-19T21:53:07, 36.6773552913, -57.1521377843
2012-09-19T21:59:07, 36.6000036523, -56.4717894327
2012-09-19T22:05:07, 36.5042107366, -55.7912249956
2012-09-19T22:11:07, 36.3842515368, -55.1193829346
2012-09-19T22:17:07, 36.2915811315, -54.4401176088
2012-09-19T22:23:07, 36.1960175447, -53.7554003578
2012-09-19T22:29:07, 36.0825923737, -53.0797496438
2012-09-19T22:35:07, 35.9672044963, -52.4136193469
2012-09-19T22:41:07, 35.8573696297, -51.7384842038
2012-09-19T22:47:07, 35.7446380612, -51.0539710522
2012-09-19T22:53:07, 35.6177610252, -50.3695152327
2012-09-19T22:59:07, 35.4803677183, -49.6962841228
2012-09-19T23:05:07, 35.3566382546, -49.0250634123
2012-09-19T23:11:07, 35.2306225430, -48.3544548322
2012-09-19T23:17:07, 35.0925560854, -47.6903372817
2012-09-19T23:23:07, 34.9490092881, -47.0405145641
2012-09-19T23:29:07, 34.8052256182, -46.3908176590
2012-09-19T23:35:07, 34.6687103994, -45.7379425876
2012-09-19T23:41:07, 34.5257841144, -45.0825134665
2012-09-19T23:47:07, 34.3624891341, -44.4389127195
2012-09-19T23:53:07, 34.1999675520, -43.7996459194
2012-09-19T23:59:07, 34.0400491375, -43.1541742478
2012-09-20T00:05:07, 33.8762093335, -42.5074550975
2012-09-20T00:11:07, 33.7011656072, -41.8634736445
