AV-6, 241
2014-09-02T11:20:43, 37.9276225995, -75.4715334903
2014-09-02T11:26:43, 37.9276030697, -75.4714905750
2014-09-02T11:32:43, 37.9275978729, -75.4714925867
2014-09-02T11:38:43, 37.9275943525, -75.4714873061
2014-09-02T11:44:43, 37.9275938496, -75.4714792594
2014-09-02T11:50:43, 37.9275859706, -75.4714857135
2014-09-02T11:56:43, 37.9434000235, -75.4159597121
2014-09-02T12:02:43, 37.7321476489, -75.2398648113
2014-09-02T12:08:43, 37.5877982844, -75.2988822106
2014-09-02T12:14:43, 37.6705904491, -75.1155906077
2014-09-02T12:20:43, 37.6985395700, -75.4095571954
2014-09-02T12:26:43, 37.9031202849, -74.9716826342
2014-09-02T12:32:43, 37.6298671402, -74.7249877173
2014-09-02T12:38:43, 37.6205644850, -74.0695087239
2014-09-02T12:44:43, 37.6109900884, -73.3957767952
2014-09-02T12:50:43, 37.5479201227, -72.7177675813
2014-09-02T12:56:43, 37.2803561110, -72.1663764026
2014-09-02T13:02:43, 36.7159894109, -72.2930676118
2014-09-02T13:08:43, 36.1642119102, -72.3517544288
2014-09-02T13:14:43, 35.6148503255, -72.3872478493
2014-09-02T13:20:43, 35.0556757115, -72.4293115083
2014-09-02T13:26:43, 34.6789504029, -72.9482224770
2014-09-02T13:32:43, 34.3085326441, -73.4814988542
2014-09-02T13:38:43, 33.9384322241, -74.0119491890
2014-09-02T13:44:43, 33.5683064908, -74.5400621463
2014-09-02T13:50:43, 33.1953068543, -75.0699638855
2014-09-02T13:56:43, 32.8189185821, -75.6024475023
2014-09-02T14:02:43, 32.4406928290, -76.1351712607
2014-09-02T14:08:43, 32.0608899370, -76.6678867210
2014-09-02T14:14:43, 31.7269799765, -77.2314407118
2014-09-02T14:20:43, 31.4766817633, -77.8587208875
2014-09-02T14:26:43, 31.2258925382, -78.4855788667
2014-09-02T14:32:43, 30.9757524077, -79.1091048717
2014-09-02T14:38:43, 30.7234681863, -79.7276919242
2014-09-02T14:44:43, 30.4622940347, -80.3468275722
2014-09-02T14:50:43, 30.2013512235, -80.9637824167
2014-09-02T14:56:43, 30.0396932289, -81.6148866434
2014-09-02T15:02:43, 29.9359906465, -82.2908503376
2014-09-02T15:08:43, 29.8327650782, -82.9630598612
2014-09-02T15:14:43, 29.6613935474, -83.5697760433
2014-09-02T15:20:43, 29.1387649532, -83.3681230433
2014-09-02T15:26:43, 28.6255194806, -83.1984371971
2014-09-02T15:32:43, 28.0742769968, -83.2639826741
