AL012012,            ALBERTO,     20,
20120530, 0000,  , TD, 32.0N,  81.8W,  25, 1004,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120530, 0600,  , TS, 32.6N,  80.6W,  35, 1002,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120530, 1200,  , TS, 33.7N,  78.9W,  40, 1000,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120530, 1800,  , LO, 34.5N,  77.1W,  40,  997,    0,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120531, 0000,  , LO, 35.4N,  75.1W,  45,  994,    0,  130,  100,   50,    0,    0,    0,    0,    0,    0,    0,    0,
20120531, 0600,  , LO, 36.3N,  72.9W,  40,  996,    0,  130,  100,   50,    0,    0,    0,    0,    0,    0,    0,    0,
20120531, 1200,  , LO, 37.1N,  70.4W,  35,  998,    0,  130,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120531, 1800,  , LO, 37.8N,  67.6W,  35, 1000,    0,  130,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120601, 0000,  , EX, 38.7N,  65.0W,  35, 1001,    0,  130,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120601, 0600,  , EX, 39.4N,  62.4W,  35, 1002,    0,  130,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120601, 1200,  , EX, 39.4N,  59.8W,  35, 1001,    0,  130,  100,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120601, 1800,  , EX, 38.5N,  57.5W,  35, 1000,    0,    0,    0,   90,    0,    0,    0,    0,    0,    0,    0,    0,
20120602, 0000,  , EX, 38.1N,  53.2W,  35, 1000,    0,    0,    0,   90,    0,    0,    0,    0,    0,    0,    0,    0,
AL032012,              CHRIS,     31,
20120617, 0000,  , LO, 28.8N,  68.8W,  20, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120617, 0600,  , LO, 29.3N,  66.9W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120617, 1200,  , LO, 30.4N,  65.4W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120617, 1800,  , LO, 31.8N,  64.2W,  35, 1004,    0,    0,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120618, 0000,  , LO, 33.4N,  63.5W,  35, 1004,   40,   40,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120618, 0600,  , LO, 35.1N,  62.8W,  35, 1004,   50,   50,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120618, 1200,  , LO, 36.7N,  62.0W,  35, 1004,   50,   50,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
20120618, 1800,  , SS, 38.0N,  61.3W,  40, 1004,   50,   50,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120619, 0000,  , SS, 38.6N,  60.4W,  40, 1003,   60,   60,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120619, 0600,  , SS, 39.1N,  59.6W,  40, 1003,   60,   60,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120619, 1200,  , TS, 39.4N,  58.7W,  40, 1003,   60,   60,    0,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120619, 1800,  , TS, 39.5N,  58.0W,  40, 1003,   60,   60,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120620, 0000,  , TS, 38.9N,  56.7W,  40, 1003,   60,   70,   40,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120620, 0600,  , TS, 38.3N,  54.7W,  40, 1002,   60,   70,   50,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120620, 1200,  , TS, 38.1N,  52.5W,  45, 1001,   60,   80,   60,   40,    0,    0,    0,    0,    0,    0,    0,    0,
20120620, 1800,  , TS, 38.2N,  50.2W,  50,  999,   60,   80,   60,   40,   30,   30,    0,    0,    0,    0,    0,    0,
20120621, 0000,  , TS, 38.6N,  47.5W,  60,  991,   60,   80,   60,   40,   30,   30,    0,    0,    0,    0,    0,    0,
20120621, 0600,  , HU, 39.5N,  45.5W,  70,  982,   60,   80,   60,   40,   30,   30,   25,   20,   15,   15,   10,   10,
20120621, 1200,  , HU, 40.5N,  43.9W,  75,  974,   70,   80,   60,   50,   40,   40,   30,   25,   20,   20,   10,   10,
20120621, 1800,  , HU, 41.9N,  42.9W,  70,  975,   70,   80,   60,   50,   40,   30,   30,   20,   15,   15,   10,   10,
