0	23.35141252	-47.08031897	0	0
60	23.31568533	-46.98759911	0	0
120	23.27356157	-46.89801768	0	0
180	23.23124478	-46.80815916	0	0
240	23.18906754	-46.71863557	0	0
300	23.14746413	-46.6303613	0	0
360	23.1060064	-46.54241293	0	0
420	23.06426578	-46.45387849	0	0
480	23.02255441	-46.36546073	0	0
540	22.98092854	-46.27724363	0	0
600	22.93912439	-46.18868111	0	0
660	22.89728981	-46.10007534	0	0
720	22.85519471	-46.01096397	0	0
780	22.81311614	-45.92188354	0	0
840	22.77115038	-45.83306747	0	0
900	22.72952635	-45.74502873	0	0
960	22.68796694	-45.65714272	0	0
1020	22.64652237	-45.56952492	0	0
1080	22.60533202	-45.48247986	0	0
1140	22.56399516	-45.39512719	0	0
1200	22.52260541	-45.30771283	0	0
1260	22.48088616	-45.21961743	0	0
1320	22.43916272	-45.13155171	0	0
1380	22.39738463	-45.04340518	0	0
1440	22.35585532	-44.95579921	0	0
1500	22.31418234	-44.86791939	0	0
1560	22.27255228	-44.78015291	0	0
1620	22.23087628	-44.69231701	0	0
1680	22.18780043	-44.60582131	0	0
1740	22.10775887	-44.56460548	0	0
1800	22.01430056	-44.56782673	0	0
1860	21.92197591	-44.57129088	0	0
1920	21.82995829	-44.57473149	0	0
1980	21.737366	-44.57910717	0	0
2040	21.64490707	-44.58429742	0	0
2100	21.55250438	-44.58947928	0	0
2160	21.45970129	-44.59466918	0	0
2220	21.36711144	-44.59985079	0	0
2280	21.27448965	-44.60503131	0	0
2340	21.18188362	-44.61021049	0	0
2400	21.08902093	-44.6154071	0	0
2460	20.99645547	-44.62057773	0	0
2520	20.90426752	-44.62573587	0	0
2580	20.81211663	-44.63088077	0	0
2640	20.71991477	-44.63602365	0	0
2700	20.62763681	-44.64116653	0	0
2760	20.53519933	-44.64631286	0	0
2820	20.44281257	-44.65145188	0	0
2880	20.34991862	-44.65661338	0	0
2940	20.25696156	-44.66178132	0	0
3000	20.16372914	-44.66695983	0	0
3060	20.0696821	-44.67218586	0	0
3120	19.97565458	-44.67740712	0	0
3180	19.88182261	-44.68261471	0	0
3240	19.78786357	-44.68781677	0	0
3300	19.69353489	-44.69303861	0	0
3360	19.59873866	-44.69828376	0	0
3420	19.50373541	-44.70353711	0	0
3480	19.40897129	-44.7083635	0	0
3540	19.31402528	-44.70673397	0	0
3600	19.21954656	-44.70500554	0	0
3660	19.12509718	-44.70326789	0	0
3720	19.03125767	-44.70154725	0	0
3780	18.93679496	-44.69981697	0	0
3840	18.84185608	-44.69807144	0	0
3900	18.74699824	-44.69633731	0	0
3960	18.65195132	-44.69459496	0	0
4020	18.55659787	-44.69285103	0	0
4080	18.46159863	-44.69111773	0	0
4140	18.36685362	-44.6893815	0	0
4200	18.27249368	-44.68765944	0	0
4260	18.17812141	-44.68593528	0	0
4320	18.08295638	-44.68418933	0	0
4380	17.98796067	-44.68245797	0	0
4440	17.89359109	-44.68073482	0	0
4500	17.7985476	-44.67898862	0	0
4560	17.7041097	-44.6772715	0	0
4620	17.61057378	-44.67557148	0	0
4680	17.5174298	-44.67387205	0	0
4740	17.42426134	-44.67217237	0	0
4800	17.33155657	-44.67048895	0	0
4860	17.23932311	-44.66880854	0	0
4920	17.14698664	-44.66712043	0	0
4980	17.05377191	-44.66541965	0	0
5040	16.96101408	-44.66373548	0	0
5100	16.86980733	-44.66208533	0	0
5160	16.77958209	-44.66045078	0	0
5220	16.68968475	-44.65881329	0	0
5280	16.59875544	-44.6571504	0	0
5340	16.50641411	-44.6554648	0	0
5400	16.41361965	-44.65377895	0	0
5460	16.32132073	-44.65210735	0	0
5520	16.22946194	-44.65044916	0	0
5580	16.13707325	-44.64877973	0	0
5640	16.04489034	-44.64711685	0	0
5700	15.95224282	-44.6454372	0	0
5760	15.85959571	-44.64376777	0	0
5820	15.76721155	-44.64210078	0	0
5880	15.67514699	-44.64043974	0	0
5940	15.5826889	-44.63876998	0	0
6000	15.48984272	-44.63710106	0	0
6060	15.39652674	-44.63542116	0	0
6120	15.30324186	-44.63374604	0	0
6180	15.2098362	-44.63206454	0	0
6240	15.11658358	-44.63038925	0	0
6300	15.02334162	-44.6287143	0	0
6360	14.92977577	-44.62702735	0	0
6420	14.83629794	-44.62534972	0	0
6480	14.74319151	-44.62367015	0	0
6540	14.65022706	-44.62200232	0	0
6600	14.55697579	-44.62032183	0	0
6660	14.46358513	-44.61864302	0	0
6720	14.37060745	-44.61697955	0	0
6780	14.27783889	-44.61531574	0	0
6840	14.18528256	-44.61365093	0	0
6900	14.09248115	-44.61198268	0	0
6960	13.99906349	-44.61029448	0	0
7020	13.91199639	-44.58858929	0	0
7080	13.87742934	-44.51052896	0	0
7140	13.90118524	-44.42571407	0	0
7200	13.90548055	-44.3393798	0	0
7260	13.90549044	-44.25241529	0	0
7320	13.90550318	-44.16481535	0	0
7380	13.90551592	-44.07699178	0	0
7440	13.9055228	-43.98876328	0	0
7500	13.90553051	-43.90075246	0	0
7560	13.90553713	-43.81335343	0	0
7620	13.90553964	-43.72581124	0	0
7680	13.90555196	-43.63791282	0	0
7740	13.90555398	-43.5501118	0	0
7800	13.90554878	-43.46241371	0	0
7860	13.90554618	-43.37479499	0	0
7920	13.90553369	-43.2877211	0	0
7980	13.90552288	-43.20048854	0	0
8040	13.90551802	-43.11280419	0	0
8100	13.90551307	-43.02531632	0	0
8160	13.90551165	-42.93746039	0	0
8220	13.90551098	-42.84977982	0	0
8280	13.90551089	-42.76190269	0	0
8340	13.90551819	-42.67411256	0	0
