AV-6, 205
2013-09-17T00:02:16, 29.7735482734, -38.9961175248
2013-09-17T00:08:16, 29.2095252313, -38.9962303452
2013-09-17T00:14:16, 29.0172991063, -39.4312420674
2013-09-17T00:20:16, 29.0346829221, -40.1039910503
2013-09-17T00:26:16, 29.0492859576, -40.7710624672
2013-09-17T00:32:16, 29.0699128993, -41.4415538684
2013-09-17T00:38:16, 29.0882556885, -42.1119280905
2013-09-17T00:44:16, 29.0957482718, -42.7808100823
2013-09-17T00:50:16, 29.0957621019, -43.4482078906
2013-09-17T00:56:16, 29.0958011616, -44.1144298017
2013-09-17T01:02:16, 29.0958200209, -44.7783495393
2013-09-17T01:08:16, 29.0883892961, -45.4351788573
2013-09-17T01:14:16, 29.0783668868, -46.0905999318
2013-09-17T01:20:16, 29.0682816971, -46.7511188798
2013-09-17T01:26:16, 29.0581334755, -47.4180075713
2013-09-17T01:32:16, 29.0480461065, -48.0765568558
2013-09-17T01:38:16, 29.0116094705, -48.7479836773
2013-09-17T01:44:16, 28.6050505377, -49.0063707624
2013-09-17T01:50:16, 28.0442345794, -48.9953785669
2013-09-17T01:56:16, 27.5084350817, -48.9147397131
2013-09-17T02:02:16, 27.5213207491, -48.3040643390
2013-09-17T02:08:16, 27.5400546379, -47.6998188067
2013-09-17T02:14:16, 27.5591274071, -47.0830870047
2013-09-17T02:20:16, 27.5786034297, -46.4528730791
2013-09-17T02:26:16, 27.5977745187, -45.8306649607
2013-09-17T02:32:16, 27.5965329073, -45.2105079778
2013-09-17T02:38:16, 27.5769813638, -44.5881440397
2013-09-17T02:44:16, 27.5573247112, -43.9606808033
2013-09-17T02:50:16, 27.5562829245, -43.3324283268
2013-09-17T02:56:16, 27.5666587148, -42.7003111225
2013-09-17T03:02:16, 27.5763445906, -42.0683867019
2013-09-17T03:08:16, 27.5850669667, -41.4310452249
2013-09-17T03:14:16, 27.5676976517, -40.7968358975
2013-09-17T03:20:16, 27.5479695015, -40.1676515210
2013-09-17T03:26:16, 27.5283933152, -39.5421500690
2013-09-17T03:32:16, 27.4236148316, -38.9746062923
2013-09-17T03:38:16, 26.8757241871, -39.0009847283
2013-09-17T03:44:16, 26.3205530215, -39.0010434017
2013-09-17T03:50:16, 25.9745489806, -39.2943121959
2013-09-17T03:56:16, 26.0126153100, -39.9347479362
2013-09-17T04:02:16, 26.0336192697, -40.5675228685
2013-09-17T04:08:16, 26.0536470730, -41.2020993233
2013-09-17T04:14:16, 26.0702631902, -41.8349153269
2013-09-17T04:20:16, 26.0802612919, -42.4673083797
2013-09-17T04:26:16, 26.0902579688, -43.1013550982
2013-09-17T04:32:16, 26.0971250944, -43.7361085787
2013-09-17T04:38:16, 26.0971201491, -44.3671305198
2013-09-17T04:44:16, 26.0970899742, -45.0014569424
2013-09-17T04:50:16, 26.0971100908, -45.6372618489
2013-09-17T04:56:16, 26.0971543472, -46.2709653284
2013-09-17T05:02:16, 26.0971878748, -46.9123100024
2013-09-17T05:08:16, 26.0813532025, -47.5573873892
2013-09-17T05:14:16, 26.0631547496, -48.1971776392
2013-09-17T05:20:16, 26.0430644173, -48.8388477825
2013-09-17T05:26:16, 26.2483452726, -49.4166356698
2013-09-17T05:32:16, 26.5742926765, -49.9335470516
2013-09-17T05:38:16, 26.9022649806, -50.4551934544
2013-09-17T05:44:16, 27.2313418519, -50.9800806362
2013-09-17T05:50:16, 27.5530188438, -51.5154462028
2013-09-17T05:56:16, 27.8713009972, -52.0661824197
2013-09-17T06:02:16, 28.1888506562, -52.6171705965
2013-09-17T06:08:16, 28.5065065976, -53.1700131856
2013-09-17T06:14:16, 28.8225097954, -53.7216867507
2013-09-17T06:20:16, 29.1397554427, -54.2772667017
2013-09-17T06:26:16, 29.4549852423, -54.8401785549
2013-09-17T06:32:16, 29.7665468697, -55.4107256513
2013-09-17T06:38:16, 30.0720384903, -55.9840680286
2013-09-17T06:44:16, 30.3739585821, -56.5580730792
2013-09-17T06:50:16, 30.6722857710, -57.1314522531
2013-09-17T06:56:16, 30.9709447995, -57.7072892524
2013-09-17T07:02:16, 31.2617870327, -58.2868303824
2013-09-17T07:08:16, 31.5510199405, -58.8708335347
2013-09-17T07:14:16, 31.8356987089, -59.4474229775
2013-09-17T07:20:16, 32.1187932976, -60.0226011593
2013-09-17T07:26:16, 32.4034663662, -60.6028258335
2013-09-17T07:32:16, 32.6857640035, -61.1869948637
2013-09-17T07:38:16, 32.9584674630, -61.7798087373
2013-09-17T07:44:16, 33.2123114727, -62.3829129897
2013-09-17T07:50:16, 33.4594752733, -62.9864148796
2013-09-17T07:56:16, 33.7054313254, -63.5887003038
2013-09-17T08:02:16, 33.9507315774, -64.1911609937
2013-09-17T08:08:16, 34.1941013932, -64.7917759046
2013-09-17T08:14:16, 34.4283428974, -65.3969071526
2013-09-17T08:20:16, 34.6638164576, -66.0070180893
2013-09-17T08:26:16, 34.9003251828, -66.6215830017
2013-09-17T08:32:16, 35.1491301600, -67.2244838253
2013-09-17T08:38:16, 35.4262437578, -67.8134903032
2013-09-17T08:44:16, 35.7241408713, -68.3969156072
2013-09-17T08:50:16, 36.0026523191, -69.0018481202
2013-09-17T08:56:16, 36.2659470923, -69.6121080872
2013-09-17T09:02:16, 36.5504570492, -70.2050517127
2013-09-17T09:08:16, 36.8115405086, -70.8137716725
2013-09-17T09:14:16, 37.0692048222, -71.4316984825
2013-09-17T09:20:16, 37.3355366103, -72.0344216097
2013-09-17T09:26:16, 37.4561103713, -72.6972916815
2013-09-17T09:32:16, 37.4974116962, -73.3801920712
2013-09-17T09:38:16, 37.5228433963, -74.0567284171
2013-09-17T09:44:16, 37.6961899549, -74.5892990381
2013-09-17T09:50:16, 37.6803664304, -73.9788760431
2013-09-17T09:56:16, 37.5687813386, -74.5799855702
2013-09-17T10:02:16, 37.5494967587, -75.2141546644
2013-09-17T10:08:16, 37.8230849281, -75.2750450838
2013-09-17T10:14:16, 37.7268416528, -75.0588319637
2013-09-17T10:20:16, 37.6560864877, -75.4231876787
2013-09-17T10:26:16, 37.9162258096, -74.9851313140
2013-09-17T10:32:16, 37.5490135420, -75.2846931573
2013-09-17T10:38:16, 37.7276950981, -75.3239002638
2013-09-17T10:44:16, 37.8951511066, -75.0320160761
2013-09-17T10:50:16, 37.8571253456, -75.0018885825
AV-6, 241
2013-09-19T10:43:30, 37.9418801330, -75.4848294519
2013-09-19T10:49:30, 37.9418592621, -75.4848371632
2013-09-19T10:55:30, 37.9418610223, -75.4848408513
2013-09-19T11:01:30, 37.9418628663, -75.4848318826
2013-09-19T11:07:30, 37.9418667220, -75.4848366603
2013-09-19T11:13:30, 37.9418670572, -75.4848308768
2013-09-19T11:19:30, 37.9418729246, -75.4848319665
2013-09-19T11:25:30, 37.9418657161, -75.4848439526
2013-09-19T11:31:30, 37.9418652132, -75.4848442879
2013-09-19T11:37:30, 37.9418673925, -75.4848394264
2013-09-19T11:43:30, 37.9418647103, -75.4848390911
2013-09-19T11:49:30, 37.9418605193, -75.4848361574
2013-09-19T11:55:30, 37.9418571666, -75.4848313797
2013-09-19T12:01:30, 37.9418605193, -75.4848248418
2013-09-19T12:07:30, 37.9429566208, -75.4830935597
2013-09-19T12:13:30, 37.8653251939, -75.4305174015
2013-09-19T12:19:30, 37.6586971991, -75.1369492896
2013-09-19T12:25:30, 37.6177371014, -75.4287573695
2013-09-19T12:31:30, 37.9434791487, -75.1338399388
2013-09-19T12:37:30, 37.6089340076, -75.1506621670
2013-09-19T12:43:30, 37.7882995270, -75.3134337813
2013-09-19T12:49:30, 37.7507107984, -75.0325144641
2013-09-19T12:55:30, 37.2879830562, -75.3879036382
2013-09-19T13:01:30, 36.7637077533, -75.4634942394
2013-09-19T13:07:30, 36.1947584152, -75.3382484056
2013-09-19T13:13:30, 35.6194156129, -75.2511526365
2013-09-19T13:19:30, 35.1550099812, -75.5379697122
2013-09-19T13:25:30, 34.7826877702, -76.0475916881
2013-09-19T13:31:30, 34.4687721692, -76.6087057069
2013-09-19T13:37:30, 34.1663671844, -77.1824428719
2013-09-19T13:43:30, 33.8566683512, -77.7489368152
2013-09-19T13:49:30, 33.5476326104, -78.3066497929
2013-09-19T13:55:30, 33.2374634687, -78.8617344573
2013-09-19T14:01:30, 32.9079856910, -79.3991120998
2013-09-19T14:07:30, 32.5508505665, -79.9159012735
2013-09-19T14:13:30, 32.2137120645, -80.4535062332
2013-09-19T14:19:30, 31.7309524119, -80.8259859402
2013-09-19T14:25:30, 31.1921050027, -81.0471109394
2013-09-19T14:31:30, 30.6462348159, -81.2578687817
2013-09-19T14:37:30, 30.1070129871, -81.2720425799
2013-09-19T14:43:30, 30.0012871809, -81.8877936993
2013-09-19T14:49:30, 29.8879518639, -82.5088637229
2013-09-19T14:55:30, 29.7951465100, -83.1383320782
2013-09-19T15:01:30, 29.5914317295, -83.6690171063
2013-09-19T15:07:30, 29.0630706679, -83.3945968654
2013-09-19T15:13:30, 28.4974605124, -83.2499465905
2013-09-19T15:19:30, 27.9910947382, -83.2918073237
2013-09-19T15:25:30, 27.8957432974, -83.9096602052
2013-09-19T15:31:30, 27.8237198666, -84.5347248763
2013-09-19T15:37:30, 27.7268030215, -85.1530546881
2013-09-19T15:43:30, 27.6639315393, -85.7746036537
2013-09-19T15:49:30, 27.5760134216, -86.3901588880
2013-09-19T15:55:30, 27.4790873565, -87.0068982337
2013-09-19T16:01:30, 27.3820804060, -87.6235607173
2013-09-19T16:07:30, 27.2847629059, -88.2416440174
2013-09-19T16:13:30, 27.1784553118, -88.8599622622
2013-09-19T16:19:30, 27.0733746607, -89.4780065026
2013-09-19T16:25:30, 26.9749287888, -90.1016186737
2013-09-19T16:31:30, 26.8758640811, -90.7286593784
2013-09-19T16:37:30, 26.7763300706, -91.3493738417
2013-09-19T16:43:30, 26.6586192325, -91.9672886655
2013-09-19T16:49:30, 26.5405283589, -92.5851480849
2013-09-19T16:55:30, 26.4367287979, -93.1946258526
2013-09-19T17:01:30, 26.3301292621, -93.8007352687
2013-09-19T17:07:30, 26.2117731012, -94.4003995880
2013-09-19T17:13:30, 26.0849293415, -95.0091245770
2013-09-19T17:19:30, 25.9574177116, -95.6202835031
2013-09-19T17:25:30, 25.7579792943, -96.1965660844
2013-09-19T17:31:30, 25.6167436391, -95.7411733456
2013-09-19T17:37:30, 25.6546924543, -95.1333310548
2013-09-19T17:43:30, 25.6768171582, -94.5252323616
2013-09-19T17:49:30, 25.6830279808, -93.9084837120
2013-09-19T17:55:30, 25.6829629373, -93.2911675237
2013-09-19T18:01:30, 25.6828704011, -92.6719095837
2013-09-19T18:07:30, 25.6827772781, -92.0561339054
2013-09-19T18:13:30, 25.6826850772, -91.4410368260
2013-09-19T18:19:30, 25.6825943850, -90.8315935917
2013-09-19T18:25:30, 25.6824794691, -90.2139899880
2013-09-19T18:31:30, 25.6809739117, -89.6004953608
2013-09-19T18:37:30, 25.6711842678, -88.9879141934
2013-09-19T18:43:30, 25.6572134793, -88.3780293167
2013-09-19T18:49:30, 25.6381150614, -87.7782407776
2013-09-19T18:55:30, 25.6192665920, -87.1854710765
2013-09-19T19:01:30, 25.5966538936, -86.5843284409
2013-09-19T19:07:30, 25.1702118292, -86.8293509167
2013-09-19T19:13:30, 24.6702054050, -87.1590271778
2013-09-19T19:19:30, 24.6075728070, -87.7815327700
2013-09-19T19:25:30, 24.6339561883, -88.4258640837
2013-09-19T19:31:30, 24.6547552105, -89.0771102998
2013-09-19T19:37:30, 24.6721524373, -89.7243414167
2013-09-19T19:43:30, 24.6721426304, -90.3731655143
2013-09-19T19:49:30, 24.6786880586, -91.0260488000
2013-09-19T19:55:30, 24.6844877489, -91.6875667032
2013-09-19T20:01:30, 24.6844723262, -92.3494534101
2013-09-19T20:07:30, 24.6844741702, -92.9986202437
2013-09-19T20:13:30, 24.6785826981, -93.6486075819
2013-09-19T20:19:30, 24.6682395972, -94.2979789339
2013-09-19T20:25:30, 24.6579312813, -94.9423519056
2013-09-19T20:31:30, 24.6476836503, -95.5849661026
2013-09-19T20:37:30, 24.6373446565, -96.2218044978
2013-09-19T20:43:30, 24.6076669358, -96.8587878160
2013-09-19T20:49:30, 24.2571708653, -97.1735788230
2013-09-19T20:55:30, 23.6744679976, -97.1539097652
2013-09-19T21:01:30, 23.5935333464, -96.6367073637
2013-09-19T21:07:30, 23.6116271932, -96.0722114146
2013-09-19T21:13:30, 23.6298493668, -95.5037376657
2013-09-19T21:19:30, 23.6450274847, -94.9354750570
2013-09-19T21:25:30, 23.6465767119, -94.3667831272
2013-09-19T21:31:30, 23.6514001619, -93.7933575176
2013-09-19T21:37:30, 23.6605958641, -93.2176234480
2013-09-19T21:43:30, 23.6670666095, -92.6432205923
2013-09-19T21:49:30, 23.6669957824, -92.0586671680
2013-09-19T21:55:30, 23.6625188403, -91.4581768960
2013-09-19T22:01:30, 23.6592264287, -90.8569883276
2013-09-19T22:07:30, 23.6495765951, -90.2628404740
2013-09-19T22:13:30, 23.6399405915, -89.6688139904
2013-09-19T22:19:30, 23.6302459147, -89.0711459890
2013-09-19T22:25:30, 23.6207257491, -88.4837663546
2013-09-19T22:31:30, 23.6097904667, -87.8961417172
2013-09-19T22:37:30, 23.5902424436, -87.3065280542
2013-09-19T22:43:30, 23.0645618308, -87.2042432707
2013-09-19T22:49:30, 22.7591490000, -87.5482550170
2013-09-19T22:55:30, 22.7693895902, -88.1806719583
2013-09-19T23:01:30, 22.7796215471, -88.8132347446
2013-09-19T23:07:30, 22.7986120898, -89.4517141487
2013-09-19T23:13:30, 22.8135234118, -90.0941089075
2013-09-19T23:19:30, 22.8179545887, -90.7407236192
2013-09-19T23:25:30, 22.8179477155, -91.3866694551
2013-09-19T23:31:30, 22.8179395013, -92.0329604577
2013-09-19T23:37:30, 22.8179534152, -92.6762852725
2013-09-19T23:43:30, 22.8179441951, -93.3207235392
2013-09-19T23:49:30, 22.8179415129, -93.9626285434
2013-09-19T23:55:30, 22.8179086559, -94.6060146298
2013-09-20T00:01:30, 22.8089731280, -95.2506130747
2013-09-20T00:07:30, 22.7879663184, -95.8941840660
2013-09-20T00:13:30, 22.7568176575, -96.5349795576
2013-09-20T00:19:30, 22.6696457807, -97.1463344526
2013-09-20T00:25:30, 22.1161561087, -97.1388863772
2013-09-20T00:31:30, 21.9463316258, -96.6879974026
2013-09-20T00:37:30, 21.9462774787, -96.1175580136
2013-09-20T00:43:30, 21.9462390896, -95.5537705868
2013-09-20T00:49:30, 21.9461873733, -94.9871484004
2013-09-20T00:55:30, 21.9461461343, -94.4169883803
2013-09-20T01:01:30, 22.1268700249, -94.0231481474
2013-09-20T01:07:30, 22.1696469840, -94.6494959202
2013-09-20T01:13:30, 22.1595170349, -95.2864141949
2013-09-20T01:19:30, 21.9624108821, -94.9336747080
2013-09-20T01:25:30, 21.9545423705, -94.3584279623
2013-09-20T01:31:30, 21.9545064960, -93.7761850096
2013-09-20T01:37:30, 21.9544525165, -93.1955994107
2013-09-20T01:43:30, 21.9543878920, -92.6171638537
2013-09-20T01:49:30, 21.9543369301, -92.0379326865
2013-09-20T01:55:30, 21.9542979542, -91.4586981665
2013-09-20T02:01:30, 21.6174158547, -91.0845637042
2013-09-20T02:07:30, 21.0956721380, -90.8726502489
2013-09-20T02:13:30, 20.9588985052, -91.4149331488
2013-09-20T02:19:30, 20.9588888660, -92.0479144435
2013-09-20T02:25:30, 20.9588775504, -92.6817895845
2013-09-20T02:31:30, 20.9608856030, -93.3171569556
2013-09-20T02:37:30, 20.9608653188, -93.9552170970
2013-09-20T02:43:30, 20.9608276002, -94.5863288920
2013-09-20T02:49:30, 20.9608040471, -95.2154006995
2013-09-20T02:55:30, 20.9607778955, -95.8494812809
2013-09-20T03:01:30, 20.9607276041, -96.4830056392
2013-09-20T03:07:30, 20.6076986901, -96.5342245158
2013-09-20T03:13:30, 20.1972767059, -96.1636796873
2013-09-20T03:19:30, 20.1622816734, -95.5982981063
2013-09-20T03:25:30, 20.1296519302, -95.0304384995
2013-09-20T03:31:30, 20.1109474618, -94.4665766414
2013-09-20T03:37:30, 20.0969906710, -93.9043065067
2013-09-20T03:43:30, 20.0969007332, -93.3348936494
2013-09-20T03:49:30, 20.0968816224, -92.7679717261
2013-09-20T03:55:30, 20.0968585722, -92.1957338322
2013-09-20T04:01:30, 19.8028976843, -91.8535433896
2013-09-20T04:07:30, 19.2319418862, -91.8220255896
2013-09-20T04:13:30, 19.1092028283, -92.3623672407
2013-09-20T04:19:30, 19.1213107388, -92.9887405783
2013-09-20T04:25:30, 19.1318975855, -93.6158017348
2013-09-20T04:31:30, 19.1422756389, -94.2447795812
2013-09-20T04:37:30, 19.1527492460, -94.8796407692
2013-09-20T04:43:30, 19.2175998632, -95.4850288387
2013-09-20T04:49:30, 19.7881155275, -95.5676904973
2013-09-20T04:55:30, 20.3499499708, -95.6725335214
2013-09-20T05:01:30, 20.9185098018, -95.7789883018
2013-09-20T05:07:30, 21.4807021525, -95.8846585359
2013-09-20T05:13:30, 21.9672669377, -95.7480004057
2013-09-20T05:19:30, 22.3011088371, -95.3017591964
2013-09-20T05:25:30, 22.6270253118, -94.8421541322
2013-09-20T05:31:30, 22.9521901812, -94.3766861781
2013-09-20T05:37:30, 23.2781864516, -93.9088740572
2013-09-20T05:43:30, 23.6019989848, -93.4430931229
2013-09-20T05:49:30, 23.9233488310, -92.9796659946
2013-09-20T05:55:30, 24.2467888724, -92.5120483339
2013-09-20T06:01:30, 24.5685661118, -92.0459664892
2013-09-20T06:07:30, 24.8896726314, -91.5765038040
2013-09-20T06:13:30, 25.2089664806, -91.1050976068
2013-09-20T06:19:30, 25.5285233539, -90.6285678037
2013-09-20T06:25:30, 25.8505987376, -90.1433429494
2013-09-20T06:31:30, 26.1740231048, -89.6509230696
2013-09-20T06:37:30, 26.4991432149, -89.1505553853
2013-09-20T06:43:30, 26.8271270860, -88.6401359551
2013-09-20T06:49:30, 27.1449033916, -88.1399977673
2013-09-20T06:55:30, 27.4569580425, -87.6433363091
2013-09-20T07:01:30, 27.7695921343, -87.1399960667
2013-09-20T07:07:30, 28.0808116961, -86.6331066750
2013-09-20T07:13:30, 28.3930405229, -86.1184733268
2013-09-20T07:19:30, 28.7062298320, -85.5959218461
